main_category,n_products,avg_rating,csi_score,weighted_csi_score,total_reviews
OfficeProducts,31,4.309677419354839,86.19354838709677,83.94449377413875,149675.0
Toys&Games,1,4.3,86.0,85.04212866367264,15867.0
HomeImprovement,2,4.25,85.0,83.79051736270611,8566.0
Computers&Accessories,375,4.153866666666667,83.07733333333333,82.75696284084158,6345535.0
Electronics,490,4.0777551020408165,81.55510204081632,82.09647999148955,14208406.0
Home&Kitchen,447,4.040715883668904,80.81431767337807,81.88938854756854,2990077.0
Health&PersonalCare,1,4.0,80.0,81.03643422125279,3663.0
MusicalInstruments,2,3.9,78.0,78.61380769832995,88882.0
Car&Motorbike,1,3.8,76.0,80.72341802553407,1118.0
