keyword,tfidf_score
working,3.2365331225843685
quality,3.051520662509587
bad,2.4415141370201625
tv,2.426542381188833
nice,2.2115523452760817
cable,2.1783212143530397
battery,2.124174140454589
money,2.117332319416216
service,1.9881717232618485
like,1.7404522442998367
poor,1.7134095695181673
ok,1.6709208801715287
just,1.5806929508475474
value money,1.514816240558527
value,1.5015508084449718
average,1.456194561047838
works,1.4422858206962648
charging,1.4285721912441374
low,1.375348531067562
remote,1.3544391017110886
